date,Subsidiary,Oil losses (bopd),Wells WWO
2023-01-05 00:00:00,CM,1307,19
2023-01-05 00:00:00,CO,908,12
2023-01-05 00:00:00,EC,,0
2023-01-05 00:00:00,EG,,0
2023-01-05 00:00:00,ER,,0
2023-01-05 00:00:00,FR,,0
2023-01-05 00:00:00,GA,3500,22
2023-01-05 00:00:00,GT,,0
2023-01-05 00:00:00,IQ,,0
2023-01-05 00:00:00,LH,,0
2023-01-05 00:00:00,MX,91,3
2023-01-05 00:00:00,PE,,0
2023-01-05 00:00:00,SG,,0
2023-01-05 00:00:00,TD,348,1
2023-01-05 00:00:00,TN,694,3
2023-01-05 00:00:00,TR,9,3
2023-01-05 00:00:00,TT,30,1
2023-01-05 00:00:00,UKS,1,4
2023-01-05 00:00:00,UKW,85,1
2023-01-05 00:00:00,US,,0
2023-01-05 00:00:00,VE,,0
2023-01-05 00:00:00,VN,,0
2023-01-05 00:00:00,WE,,0
2023-01-06 00:00:00,,,0
2023-01-06 00:00:00,"",,0
2023-01-06 00:00:00,AU,,0
2023-01-06 00:00:00,BN,,0
2023-01-06 00:00:00,BR,2756,11
2023-01-06 00:00:00,BS,,0
2023-01-06 00:00:00,BZ,,0
2023-01-06 00:00:00,CCS,,0
2023-01-06 00:00:00,CD,841,18
2023-01-06 00:00:00,CG,1533,14
2023-01-06 00:00:00,CM,1196,18
2023-01-06 00:00:00,CO,930,12
2023-01-06 00:00:00,EC,,0
2023-01-06 00:00:00,EG,,0
2023-01-06 00:00:00,ER,,0
2023-01-06 00:00:00,FR,,0
2023-01-06 00:00:00,GA,4436,18
2023-01-06 00:00:00,GT,,0
2023-01-06 00:00:00,IQ,,0
2023-01-06 00:00:00,LH,,0
2023-01-06 00:00:00,MX,91,3
2023-01-06 00:00:00,PE,,0
2023-01-06 00:00:00,SG,,0
2023-01-06 00:00:00,TD,348,1
2023-01-06 00:00:00,TN,166,2
2023-01-06 00:00:00,TR,9,3
2023-01-06 00:00:00,TT,30,1
2023-01-06 00:00:00,UKS,1,4
2023-01-06 00:00:00,UKW,131,1
2023-01-06 00:00:00,US,,0
2023-01-06 00:00:00,VE,,0
2023-01-06 00:00:00,VN,,0
2023-01-06 00:00:00,WE,,0
2023-01-07 00:00:00,,,0
2023-01-07 00:00:00,"",,0
2023-01-07 00:00:00,AU,,0
2023-01-07 00:00:00,BN,,0
2023-01-07 00:00:00,BR,2756,11
2023-01-07 00:00:00,BS,,0
2023-01-07 00:00:00,BZ,,0
2023-01-07 00:00:00,CCS,,0
2023-01-07 00:00:00,CD,990,18
2023-01-07 00:00:00,CG,1533,14
2023-01-07 00:00:00,CM,1196,18
2023-01-07 00:00:00,CO,924,12
2023-01-07 00:00:00,EC,,0
2023-01-07 00:00:00,EG,,0
2023-01-07 00:00:00,ER,,0
2023-01-07 00:00:00,FR,,0
2023-01-07 00:00:00,GA,4968,19
2023-01-07 00:00:00,GT,,0
2023-01-07 00:00:00,IQ,,0
2023-01-07 00:00:00,LH,,0
2023-01-07 00:00:00,MX,91,3
2023-01-07 00:00:00,PE,,0
2023-01-07 00:00:00,SG,,0
2023-01-07 00:00:00,TD,348,1
2023-01-07 00:00:00,TN,694,3
2023-01-07 00:00:00,TR,9,3
2023-01-07 00:00:00,TT,30,1
2023-01-07 00:00:00,UKS,1,4
2023-01-07 00:00:00,UKW,2,1
2023-01-07 00:00:00,US,,0
2023-01-07 00:00:00,VE,,0
2023-01-07 00:00:00,VN,,0
2023-01-07 00:00:00,WE,,0
2023-01-08 00:00:00,,,0
2023-01-08 00:00:00,"",,0
2023-01-08 00:00:00,AU,,0
2023-01-08 00:00:00,BN,,0
2023-01-08 00:00:00,BR,2756,11
2023-01-08 00:00:00,BS,,0
2023-01-08 00:00:00,BZ,,0
2023-01-08 00:00:00,CCS,,0
2023-01-08 00:00:00,CD,1023,19
2023-01-08 00:00:00,CG,1482,13
2023-01-08 00:00:00,CM,803,11
2023-01-08 00:00:00,CO,834,10
2023-01-08 00:00:00,EC,,0
2023-01-08 00:00:00,EG,,0
2023-01-08 00:00:00,ER,,0
2023-01-08 00:00:00,FR,,0
